"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2016,1,1,1,5,"2016-01-01","AA",19805,"AA","N765US",727,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12892,1289203,32575,"LAX","Los Angeles, CA","CA",6,"California",91,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,1,2136,9,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,1,5,"2016-01-01","WN",19393,"WN","N360SW",2101,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,1,994,4,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,2,6,"2016-01-02","WN",19393,"WN","N264LV",6312,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,1,994,4,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,2,6,"2016-01-02","B6",20409,"B6","N516JB",1786,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2103,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,1,496,2,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,3,7,"2016-01-03","B6",20409,"B6","N645JB",2007,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,1,994,4,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,3,7,"2016-01-03","WN",19393,"WN","N353SW",2481,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,1,994,4,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,3,7,"2016-01-03","OO",20304,"OO","N790SK",5640,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393004,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,4,1,"2016-01-04","WN",19393,"WN","N778SW",2902,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,4,1,"2016-01-04","UA",19977,"UA","N432UA",526,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393004,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,4,1,"2016-01-04","AA",19805,"AA","N949UW",1786,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14100,1410002,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,1,268,2,NA,NA,NA,NA,NA,NA,NA,NA
